KM	kcat
100	16.7
59	0.3
13	5.4
11	1.83
260	2.5
480	41.3
830	215
1700	4
120000	7.83
28000	30.7
9000	0.175
340000	62.7
9030	1.15
5700	0.152
500	9.58
40000	1.27
260	1.88
184000	0.85
8100	6.63
180	0.0833
5000	0.45
1230	0.467
190	39.9
147	34
168	109.5
248	10
56	0.00086
9	0.4
11	0.11
23	0.9
20	1.9
59	1.55
28470	53.5
3100	15
775000	0.612
9700	14
410	24
410	24
990	55
850	1.5
1500	41
910	44
990	55
850	1.5
1500	41
910	44
220	41
170	3.8
360	23
690	76
120	8
220	41
170	3.8
360	23
690	76
120	8
7	25
5	26
3	27
1	0.65
2	23
9000	3
1500	0.65
13000	6.9
670	41
77	1.6
1100	25
520	24
200	30
670	41
77	1.6
1100	25
520	24
200	30
670	41
77	1.6
1100	25
520	24
200	30
330	188
260	19000
381	17.5
348	27.2
2000	302.9
13700	24.6
4000	2644
7	25
2	23
260	6
1239000	5.6
25000	0.6
15000	17
11000	10
10000	20
174000	20.1
18000	20.2
330	0.71
1500	506
3000	8
21000	161
230	8.5
230	8.5
4400	58
49300	0.233
43300	0.525
228000	1.1
49300	0.233
43300	0.525
228000	1.1
6200	1.7
5040	0.635
76000	0.283
6300	266
35	0.55
35	0.55
470	0.37
1990	2.35
123	2.53
20	0.117
870	8.73
120	0.24
400	0.81
2.7	1.1
9	35
2.7	1.1
9	35
2.7	3.6
2.7	3.6
10200	61.9
10	45
500	237
182	7.1
112	261.5
7.3	5.3
63	399
50	8.2
46600	85.2
685	428
148	7.7
42.4	55
78.6	266.2
4.6	31.2
4200	55.7
44	0.078
31	49
4.5	13
2500	1.35
6800	0.25
105	32
86	65
155	12.33
143	38.33
311	25
105	32
86	65
155	12.33
143	38.33
311	25
105	32
86	65
155	12.33
143	38.33
311	25
7	148.3
11	96
61	2330
9	125
14	266.7
8.1	216.7
7	148.3
11	96
61	2330
9	125
14	266.7
8.1	216.7
7	148.3
11	96
61	2330
9	125
14	266.7
8.1	216.7
160	676
60	250
2760	327.2
49	94
55	96
210	884
17	126.7
71	266.7
600	80
12000	65
47	40
10200	12.33
11300	38.33
93000	25
0.21	633
120	321
100	87
310	340
240	280
320	58
1100	100
1300	110
1500	1382
600	432
340	180
490	310
68	0.023
34.5	155
45	246
18.7	252
13.8	113
16.6	1287
22.2	681.7
44	569
2.61	643.3
5.29	375
2	300
152	150
27.9	41
28.6	48.6
29.9	1.73
38.2	139
5.6	1.8
3230	121600
1350	250
1250	3500
3530	4729
543	41.3
269	48.4
288	83.2
740	138
420	134.4
1000	130
760	617
41.5	66.6
8	201.3
79	88.3
93	98.3
16900	284.1
690	158.4
2600	21.6
16900	284.1
690	158.4
2600	21.6
40	151.7
18	376
2960	324.1
73	160
80	15
2600	91.7
3100	96.7
130	154.3
1460	177
70	30
77.1	21.8
180	45.1
16.4	14.8
8.8	32.2
125	37.4
90	138
101	0.003
8.8	32.2
125	37.4
90	138
101	0.003
255	33.33
570	74.9
370	390
440	47.7
27	260
1300	75
4500	802
9500	390
1300	75
4500	802
9500	390
4670	251
4670	251
52	275
45800	251
75	83
0.1	0.133
48	0.00783
3.5	0.007
4.1	0.82
210	134
5.5	318
0.1	0.133
48	0.00783
3.5	0.007
4.1	0.82
210	134
5.5	318
4	1.9
0.65	0.42
4	1.9
0.65	0.42
2.1	0.047
2.1	0.047
2.4	0.105
2.4	0.105
110	4.7
110	4.7
110	4.7
5.3	0.33
5.3	0.33
5.3	0.33
9600	1.3
9600	1.3
9600	1.3
0.61	3.4
0.61	3.4
0.35	3.9
0.35	3.9
6.5	3.8
6.5	3.8
0.03	5.8
0.03	5.8
11	0.95
4.6	4.4
11	0.95
4.6	4.4
440	20
400	40
4790000	35.1
727000	13.9
4790000	35.1
727000	13.9
13	11
21	2.4
1.2	12
40	300000
21	2.4
1.2	12
40	300000
240	67
34	22.5
58	65
13	11
21	2.4
40	1520
12000	233
3.21	10.6
12	0.15
116	107
25.8	2.36
341	45.8
25	2.4
166	20
514	13.4
321	69
3.21	10.6
12	0.15
116	107
25.8	2.36
341	45.8
25	2.4
166	20
514	13.4
321	69
9	14.9
15	28
14	1.8
250	2.231
290	18.3
7500	171
18	17
18.3	13.7
7500	171
18	17
18.3	13.7
25.7	622
26	131
46	63
219.4	228
130	18
320	85
3.2	0.463
170	2461
9	1.07
10	7.2
9.9	1.11
13000	23.3
13	7.2
1430	135
11.8	11
1.1	0.02
280	136
91	149
13000	59.2
2800	0.00051
2800	0.00051
276	15.5
77	15.5
6.74	6.08
7.06	7.41
38	47
38	47
3.4	50
0.7	0.021
221	11.6
1	0.0333
47.3	0.118
0.7	0.021
221	11.6
1	0.0333
47.3	0.118
23	1.48
23	1.48
1	0.0333
1	0.0333
9.6	0.078
3	0.04
9.6	0.078
3	0.04
0.3	0.4
0.28	0.3
0.3	0.4
0.28	0.3
14	1.43
14	1.43
11	1.65
11	1.65
15.4	0.178
15.4	0.178
9	1.17
7.5	1.06
9	1.17
7.5	1.06
1200	63.3
361	151
7	25
30	25
6500	58
43000	21.8
85	26.7
247	179
590	1.48
16.7	870
85	26.7
247	179
590	1.48
16.7	870
309	25
110	3.5
247	0.43
325	0.99
100	13.3
4.4	1.3
8	27.4
53	0.17
31	0.24
54	26.7
70	1.2
110	1.9
144	0.98
70	1.2
110	1.9
144	0.98
45.8	1.47
4	0.31
62	0.4
1.7	1.9
0.12	0.6
3	0.6
10	0.06
674	0.06
48	0.000367
48	0.000367
830	1.43
27	0.367
29	1.25
4.1	0.82
5.5	318
29	1.25
4.1	0.82
5.5	318
0.65	0.42
0.65	0.42
17.1	71.4
94.9	71.4
2.2	0.417
5300	655
3.5	2.1
7	21.9
7.9	2.3
6	0.38
1570	0.09
32	2.4
44	0.044
290	2.6
50	3.3
290	2.6
50	3.3
8920	0.09
8920	0.09
440	8.7
8400	1300
6400	216
210	91.8
210	91.8
7.2	5.3
30	4.4
1000	1.6
972	1.6
50	38
45	29
81	33
340	5.3
170	17
132	4.4
64	0.75
64	0.75
26000	8.33
40000	4.2
95000	11
12.2	0.142
12.2	0.142
500	0.117
500	0.117
9.1	0.113
9.1	0.113
2.9	0.091
2.9	0.091
80	0.85
0.2	34.5
6	16
94	156
0.4	3.33
1.7	2.5
0.92	3.6
40	88.3
30	51.7
2	6.33
7	22.5
6	16
94	156
0.4	3.33
1.7	2.5
0.92	3.6
40	88.3
30	51.7
2	6.33
7	22.5
77.1	21.8
193	30.3
77.1	21.8
193	30.3
16.4	14.8
291	42.8
405	171
18.3	13.7
211	46.2
7486	171
25000	196
12500	258
12500	258
3953000	782
6400	216
8400	1300
1020	9.3
240	103
540	473
290	155
160	372
890	149
860	240
160	372
55	250
28000	337
18400	741
5700	2000
800	63
0.02	40
140	67
70	48.1
82000	503
82000	503
110	70
1280	111
10500	32
400	60
2300	15.6
2200	0.7
320	15.6
141	4.1
550	2.24
430	86
1700	61
250	60
500	15.5
550	2.24
430	86
1700	61
250	60
500	15.5
2350	1.71
2350	1.71
1720	1.67
1720	1.67
44100	20.9
290	5.4
75	1.6
189	2.4
400000	3360
26000	3440
100	33.3
100	33.3
100	33.3
180	22
180	22
12600	59
12600	59
4.76	7.9
4.67	8.9
4.96	4
25	24
43.2	40
16	15.5
18	25.7
30	13
11	14
0.3	37
3.4	16.1
4.76	7.9
4.67	8.9
4.96	4
25	24
43.2	40
16	15.5
18	25.7
30	13
11	14
0.3	37
3.4	16.1
4.76	7.9
4.67	8.9
4.96	4
25	24
43.2	40
16	15.5
18	25.7
30	13
11	14
0.3	37
3.4	16.1
158	174
110	134
270	109
36.5	6.5
15	3.7
5500	1.4
1000	11.03
200	19.7
400	1.86
5800	3.5
0.15	11.3
40	0.04
40	0.04
40	0.04
15630	33.5
67000	35.9
15630	33.5
67000	35.9
83	261
385	276
46	60
65	8.49
120	160
240	330
160	120
600	16.7
1450	24.51
29	61
18	430
41	7.7
38.5	31.7
1080	1.08
2427	9.86
62.2	10.2
14.9	15.3
15	55
60	1.1
111	66
997	176
111	66
997	176
111	66
997	176
6.9	57
18	20
63	29
1400	66
1400	66
1400	66
52.8	3.3
52.8	3.3
35	3.5
11.6	96.8
2.27	1.63
5.16	0.0363
76.3	0.7
0.98	0.038
0.42	1.9
13.7	7.8
6.32	0.0612
0.55	1.67
104.5	5.3
99	4.9
180	1.28
180	1.28
8.3	0.95
39	0.15
24	0.13
74	169
800	20
960	200
510	20
400	17.9
780	9.7
260.9	37.9
35.9	69.9
10	0.077
1100	486
1.1	0.48
260.9	37.9
35.9	69.9
10	0.077
1100	486
1.1	0.48
260.9	37.9
35.9	69.9
10	0.077
1100	486
1.1	0.48
23	0.46
23	0.46
59	8.65
48	3.3
119	9.4
59	8.65
48	3.3
119	9.4
68	31
68	31
5	98.2
5	98.2
275	2.4
2500	171
115	27
2000	98
516	1.55
70	370
205	13
110	17
50	5
9.6	5.6
50	5
9.6	5.6
50	5
9.6	5.6
18	15900
30	11
10	7.33
106	10
98	37
100	95
0.12	1.6
240	0.4
2.19	0.0302
2.2	1.8
11	0.00817
21.7	0.0375
12.2	0.0128
1.3	14
5.4	177
28	370
7	210
103	0.45
25	1.5
71	11.5
84	62
17	2.2
97	13
136	68
3.7	25.7
21.3	25.7
90	49.3
170	11.7
1.8	0.49
0.6	2.6
2.1	17
7.6	8.1
13	19
7.6	8.1
13	19
58	13.9
25	114
58	13.9
25	114
58	13.9
25	114
58	13.9
25	114
0.8	9.5
14.2	0.215
94.6	0.16
3.9	0.38
73.9	1.045
12.9	0.18
17.8	0.058
49.8	1.34
84.2	37.3
2.2	1.3
170	134
91	7.8
2.6	0.003
0.6	16
0.54	0.0125
0.13	0.055
0.68	0.06
0.34	0.0267
0.79	0.045
6.6	0.124
2.1	0.295
6.3	0.00000783
1.17	6
1.6	0.0867
24220	3.93
109	583
60.2	0.00133
40	115
100	200
180	20
5.8	0.66
11220	0.161
2.5	78
55	110
100	28.3
20	150
20	250
150	37.9
26	71
10	75
11	95
3	190
14.4	0.25
91	7.8
31	15.8
15	1.8
12.9	20.8
0.3	9.6
17	9.17
2.7	2.5
14	33.3
15	20.7
5	0.533
12.9	20.8
0.3	9.6
17	9.17
2.7	2.5
14	33.3
15	20.7
5	0.533
1	2
6.4	6.7
3.4	3.87
8.1	11.3
34	13.2
6.4	6.7
3.4	3.87
8.1	11.3
34	13.2
6.4	6.7
3.4	3.87
8.1	11.3
34	13.2
3.1	10
2.5	2.37
1.3	0.98
3.1	10
2.5	2.37
1.3	0.98
1	1.77
2.7	9700
3.9	3000
120	85.4
460	0.02
310	0.022
600	6.1
35	34.7
50	63
70	128
100	207
230	163
600	6.1
35	34.7
50	63
70	128
100	207
230	163
600	6.1
35	34.7
50	63
70	128
100	207
230	163
4000	1.6
760	694
160	118
390	888
345	6
345	6
3700	0.16
340	18.1
5820	6.7
103	20.3
710	65
590	83
710	65
590	83
81	104
86	130
83	374.5
81	104
86	130
83	374.5
37	387.5
40	112
37	387.5
40	112
80	102
80	102
1810	83
600	121.2
10000	61
320	162
1810	83
600	121.2
10000	61
320	162
530	165.3
250	183
530	165.3
250	183
3629	1.5
368	6144
280	28650
280	28650
88	2136
88	2136
810	226
438	315
1300	28.3
1500	47.5
1550	99.38
3.5	30.8
1.4	70
811	32
1100	68.01
87	39
370	113
250	1.2
250	1.2
720	7.2
720	7.2
67	4.9
67	4.9
67	4.9
67	4.9
547	635
547	635
380	3.13
2900	82.6
885	66.26
650	0.21
880	24.13
147	81.04
2300	6.58
51	17.18
4280	48.23
1570	8.42
4020	6.33
180000	0.9
140000	0.6
1300	5.2
900	5.5
1700	440
770	6.5
230	190
6000	78
43000	300
4630	0.00567
7000	2740
3000	74
4000	44
800	81
2600	350
1000	4880
7000	46
4500	53
4300	80
1700	7.3
8800	14.7
9500	87.2
1100	21
18000	20
2300	39
23000	100
2400	4300
9000	55
20000	64
4000	4400
33	3.5
600	6.83
440	1.267
430	18.6
300	6
570	2
250	20.8
190	20.8
1480	0.998
350	1.4
16	3.82
368	33
368	33
1800	0.19
13	0.09
400	28
105	1.72
1000	0.2
100	0.009
8.2	26.4
3.5	20.7
2000	85.8
5000	75
500	0.0333
500	0.0333
990	1.3
1120	1.2
3800	4
700	0.6
990	1.3
1120	1.2
3800	4
700	0.6
81000	1.1
490000	0.92
220	1.6
2600	4.2
700	0.6
660	1.4
10	2.12
710	12.8
7.8	9.6
1.8	20.7
1.2	14.98
2.5	75.7
1.9	1.51
3.4	0.92
20	28500
26	7.9
424	252
1500	140
65	281
19	66.5
190	163
1400	62
1900	13.3
46	67.2
2.8	8340
91	2.93
600	95
100	100
130	29220
17000	0.3
44	3.67
6000	14.7
5.9	48.5
1300	14
5	35
4	26
130	27.1
57	4170
57	4170
59	4000
59	4000
1260	55
1260	55
40	0.00983
40	0.00983
10.4	218
0.43	5.1
10.4	218
0.43	5.1
10.4	218
0.43	5.1
10	4.67
0.47	16.5
0.97	13.7
0.39	16.8
0.075	10
35	0.95
0.74	13.5
44.4	1.24
0.7	20.5
80	3.14
1.8	123
2.4	7
10	4.67
0.47	16.5
0.97	13.7
0.39	16.8
0.075	10
35	0.95
0.74	13.5
44.4	1.24
0.7	20.5
80	3.14
1.8	123
2.4	7
10	4.67
0.47	16.5
0.97	13.7
0.39	16.8
0.075	10
35	0.95
0.74	13.5
44.4	1.24
0.7	20.5
80	3.14
1.8	123
2.4	7
10	4.67
0.47	16.5
0.97	13.7
0.39	16.8
0.075	10
35	0.95
0.74	13.5
44.4	1.24
0.7	20.5
80	3.14
1.8	123
2.4	7
7	1.08
7	1.08
7	1.08
7	1.08
200	113
13	0.967
4.4	1
460	18.8
19.8	652
71	1.6
71	1.6
71	1.6
71	1.6
37	1.6
109	25
37	1.6
109	25
17	23.5
28	160
850	3.96
960	47.78
40100	50.08
36.8	0.7
8	0.517
36	0.0083
23.5	0.763
64800	559.9
19	1.31
31	0.433
32	1.25
14	1.05
47.5	34
24.2	0.353
39.6	2.7
20	8
9.2	0.768
25000	570.2
2.7	1.7
14200	54.38
39.6	2.7
20	8
9.2	0.768
25000	570.2
2.7	1.7
14200	54.38
550	70
21	69.5
32	62
11	6.7
3.5	0.23
4.7	280
9	17
4.7	280
9	17
135	20
135	20
17	200
17	200
32900	18.9
290	101
3100	20.3
2760	18.5
2400	10.6
2000	14.3
198	125
2.1	15
1.1	17
66	684
2	2
0.85	31.7
1.6	47
0.13	21.4
5400000	90
0.2	40
0.32	200
17	40
17.5	16.5
9.6	15.6
14.8	16.8
10.5	9.67
2400	10.6
13000	13
60	17
58000	20
5600	0.4
5300	1.3
19900	10.4
30800	18.01
1.5	570
3.1	1100
44	332
2623	0.733
20	911
4	600
13	400
12	600
58	137
6.3	6.2
10.4	3.1
29	1.6
6.3	6.2
10.4	3.1
29	1.6
6.2	192
549	62.7
14	8.9
19	120
6.2	192
549	62.7
14	8.9
19	120
6.2	192
549	62.7
14	8.9
19	120
30	52.7
31	170
31	550
4.6	200
7.8	119
9.6	170
17.8	128
7.1	66
70	151
7.65	258
17	120
70	151
7.65	258
17	120
18	2.75
3.2	4.2
36.3	1200
8	1.8
13	1400
21	2.5
36	0.01
150	6.4
150	6.4
6	8
49	1478
53	1046
36	392
68	219
220	71
620	320
11	144
1.3	172
6	8
49	1478
53	1046
36	392
68	219
220	71
620	320
11	144
1.3	172
6	8
49	1478
53	1046
36	392
68	219
220	71
620	320
11	144
1.3	172
6	8
49	1478
53	1046
36	392
68	219
220	71
620	320
11	144
1.3	172
47.2	18.1
50	80
690	1090
1.9	455
79	145
112	58
1.9	455
79	145
112	58
1.9	455
79	145
112	58
19	12
4	48
20	667
19	12
4	48
20	667
2250	649
870	337
370	88
880	567
146	448
6300	0.263
1120	38
55.5	32.5
32.3	900
240	367
52.6	37.5
61	733.3
65	210
19	48.3
72	165
95	120
61	733.3
65	210
19	48.3
72	165
95	120
28	3.6
0.44	0.0087
1.7	0.61
35000	37
2.36	29.5
2	22.8
1.25	22
3.7	5.58
1.41	27.4
2.5	50
12300	63.2
6	1300
610	2.1
8.5	15.7
44.1	1.3
173	4.99
17	19.2
141	5.8
32	37
17	6.33
17	6.33
17	6.33
500	20.8
31	283
36	179
24	108
1	27
3	8
113	68.76
113	68.76
32	10880
540	8500
1.29	26.3
3.62	12.1
3.67	17.2
6.12	25
5.03	27
9.59	23.6
26	28.1
53.6	24.6
22.6	4500
6.4	0.382
495	8.4
11.2	11.3
0.57	0.153
50	0.176
2.5	3.4
12.2	56
2.5	3.4
3900	6.9
2380	100.6
210	5.27
53	490
190	368.2
2600	167
200	9.1
4	3.65
4	3.65
92	74
10	0.2
50	0.19
1.9	455
79	145
1.9	455
79	145
100	878
4500	395
5000	160
12000	7.48
1040	1070
0.223	0.000459
5770	1445
1040	1070
0.223	0.000459
5770	1445
470	1130
39	10800
262	7.6
204	682
290	3110
3500	20
3	0.388
20	66.7
10	2000
3	17.2
3900	16300
3500	11000
13000	125000
5180	10100
5160	3000
4100	3500
36000	850000
70000	217000
1930	23300
170000	29000
35500	360000
75000	255000
3900	16300
3500	11000
13000	125000
5180	10100
5160	3000
4100	3500
36000	850000
70000	217000
1930	23300
170000	29000
35500	360000
75000	255000
3900	16300
3500	11000
13000	125000
5180	10100
5160	3000
4100	3500
36000	850000
70000	217000
1930	23300
170000	29000
35500	360000
75000	255000
1700	76
1700	76
450	20.83
260	5.7
200	24.5
200	24.5
200	24.5
22	1800
42	2190
410	248
355	159
395	2510
111	696
117	1980
530	1.74
430	260
55	252
58	237
29.4	230
4.5	225
6.4	272.4
6.7	373
53.7	125
83	290
90	256
14	230
17	150
63	304.8
44.7	161
51.88	0.22
35.2	479.7
53.7	125
83	290
90	256
14	230
17	150
63	304.8
44.7	161
51.88	0.22
35.2	479.7
23600	10.83
31	75
31	75
22	4.8
3.4	5.5
36.8	38
0.033	483
341	0.683
36	2050
19	725
16	17.5
0.5	26.7
5.9	7.2
9.3	8
0.25	20
1.1	11.6
13	9.6
3.2	15.8
1	48.7
1.9	54
110	36
0.5	1
170	1.3
18	4
1.2	6.3
14	1.6
90	12
0.7	4
20	3.4
4	690
2.9	493
1.1	128
1.4	930
1.47	31.3
1	180
3.8	238
1.5	200
0.9	45
2.4	190
1.5	25
1.8	490
3.8	118
6	930
1.9	64
800	69.5
800	69.5
30	758
2	74.7
29	70
30	68
54	89.5
125	417
78	120
74	328
85	642
18.6	5.5
42	41.5
22	56
16	32.2
15	64.3
14	43.4
22.4	25
80	350
119000	35.4
190	2.1
222	1.4
650	0.045
600	2.03
6700	78
1600	13.9
15	287
11.3	156
200	106
82.44	13.7
2100	3.6
3100	1.7
1500	0.62
3800	0.3
5700	2
1200	0.33
4	25
14.1	1.45
19	166.7
6.9	0.065
7000	13.1
5.2	13.7
3100	6400
4200	5.2
5.2	13.7
4200	5.2
5.2	13.7
2.5	9.93
3.01	8.16
38	25
38	25
39	138
7	6.35
20	11.4
1.2	29
7	6.35
20	11.4
1.2	29
10	114
10	114
0.46	115
26	16.5
60	17
0.3	40
2100	4
1600	9
800	15
1.2	3.2
8	0.3
8	15
31	23.3
4.4	18.3
2.4	40
1233	42
1.7	145
260	1800
15800	960
215	7550
9.1	6.5
7	1.4
1570	3.93
110	500
47	260
1100	11.8
36	0.00367
40	13.2
40	13.2
22000	0.0148
17	103
22100	7.22
5900	0.183
0.0016	4.8
9	3
52	3
59	0.056
139	0.16
26	8.6
3.9	367
26	8.6
3.9	367
26	8.6
3.9	367
0.92	1.82
3.2	83
4.8	50
0.11	94
0.28	670
0.11	94
0.28	670
18	1.1
11	2.2
29	4.6
2.7	0.168
0.18	0.4
20	4.1
18	1.1
11	2.2
29	4.6
2.7	0.168
0.18	0.4
20	4.1
52	63
140	6.6
160	8.6
195	7.8
21.3	36.7
0.6	63
36	2.8
15000	389
2.7	4.48
30	26
610	0.286
0.6	1.02
22	0.15
22	0.15
1.8	0.61
1.8	0.61
0.6	0.77
13	0.06
13	0.06
13	0.06
232	1.8
121	3.18
820	2.03
890	1.88
5	4.95
1000	161.8
83	4.5
6.3	0.592
31	0.0778
25	3.7
25	3.7
4.3	1.08
4.3	1.08
25	70.8
25	70.8
220	5.83
21.6	16.2
29.2	16.2
2.8	14.9
1.9	1.4
0.5	9300
110	0.1
50	0.028
150	36
140	35.8
79	22.4
79	22.4
10	10
10	10
46	0.125
12	10.1
9.2	12.6
51	0.033
67	0.015
61	0.26
59	1.9
5.3	0.11
5.4	0.0018
2.2	0.00117
3.9	0.0153
1.5	340
77	66
8.4	0.0378
8.4	0.0378
180	0.85
6	1.83
5	0.583
0.87	0.66
338	0.167
77	3.45
2	0.5
2	0.5
2	0.5
80	3.03
80	3.03
39	22.8
39	22.8
2.1	0.207
7.7	32
2.1	0.207
7.7	32
324	43
324	43
1000	13
230	0.07
83	5.9
3000	7.2
1250	81.4
410	13.2
400	3.33
210	7.9
3100	100
3000	7.2
1250	81.4
410	13.2
400	3.33
210	7.9
3100	100
7950	2960
160	874.1
300	878
2100	42
3700	0.04
4140	1120
900	84.85
800	107
1930000	478
36000	90
8100	880
770	1.8
2100	42
3700	0.04
4140	1120
900	84.85
800	107
1930000	478
36000	90
8100	880
770	1.8
2100	42
3700	0.04
4140	1120
900	84.85
800	107
1930000	478
36000	90
8100	880
770	1.8
6430	1450
6430	1450
3.3	0.55
0.46	0.705
3.9	0.817
8.3	0.095
5	0.0467
6.6	0.42
36	0.05
14	0.307
3.8	0.32
0.93	0.0583
7700	0.0183
9.87	0.076
13	0.0055
7700	0.0183
9.87	0.076
13	0.0055
6.3	0.0483
1.7	0.00283
1.7	0.00283
7.1	0.011
355	100000
5	13.5
35	9
2.89	3.92
8.3	0.505
5.4	1.06
4.9	0.66
590	3.7
590	3.7
590	3.7
590	3.7
8.8	30
29	24.9
32	31
8.8	0.99
0.3	15
85	118
29	24.9
32	31
8.8	0.99
0.3	15
85	118
1.7	30
47.5	4.35
8.8	18.3
88	5.25
8.8	18.3
88	5.25
20	12
420	0.4
570	35.4
7.4	560
3.1	23.2
4.1	50.6
19.5	258
800	7.2
53	3.2
300	14400
35	30.4
68	3.58
300	14400
12200	0.33
9200	0.14
16	387
2	3.8
106	0.014
2200	88
333	0.014
30.6	0.18
17	0.19
45	0.38
0.6	0.14
13	0.33
14	0.417
281	1.6
36	0.45
12.2	1.6
430	0.45
1200	51.9
95	0.045
99	0.043
0.7	15
0.96	0.01
0.28	0.0068
0.96	0.01
0.28	0.0068
0.25	0.013
47	0.013
2.82	65.5
0.69	6.37
15	0.2
15	0.2
15	0.2
15	0.2
120	0.45
169	0.047
120	0.16
113	0.19
281	0.388
5.6	0.00117
0.0036	0.93
0.09	0.0022
	
0.091	0.0047
0.6	0.73
89.4	0.12
70	0.042
80	0.067
145	0.058
145	0.058
145	0.058
9.9	0.052
4.1	6.08
1	38
1	38
1.8	2.2
2	1.4
6.3	70
38.5	25
214	0.031
7.6	0.0072
2000	1.07
2800	1.4
2800	1.4
700	5
220	5.85
430	8.95
15	5
4.1	0.04
890	1.3
67.7	14.4
88.1	18.4
67.7	14.4
88.1	18.4
240	0.783
240	0.783
820	0.78
9	156
1000	5.6
1120	41.7
20	57.4
23	47.2
1780	235
3340	382
5670	546
8000	694
22490	750
45000	690
400	56.7
2750	8.4
400	56.7
2750	8.4
400	56.7
2750	8.4
56	4.9
13	6.44
13	6.44
440	1.9
68	1.9
1500	0.075
53	0.05
97	9
71	38
200	22.1
2490	711
3000	0.28
102000	4.9
101	86.9
742	1500
742	1500
162.1	574.5
89	87.5
70	81.3
65	5190
162.1	574.5
89	87.5
70	81.3
65	5190
329.3	1.73
129	1927
170	68.5
96	5190
6.4	29.5
6.4	29.5
6.4	29.5
24	465
3.8	40.1
22	2.4
22	2.4
11	0.54
13	0.48
140	1.9
20.9	9.34
140	92
185	0.98
130	23
1090	9.6
130	92
240	23
850	31
14000	0.016
3000	0.167
55	0.0095
3.9	1.9
4.3	0.0508
250	1580
1.9	1.2
327	450
9.5	303
1.9	353
10.9	66
1.8	551
50.8	6
640	5.23
170	24
280	25.7
1600	24
467.5	0.007
1400	0.11
70	0.000833
25	0.001
1	0.5
1.6	0.1
46	0.0467
870	0.0503
100	0.12
390	0.15
2050	11
24000	3.8
24000	3.8
36.1	0.021
5.17	0.0167
4.9	0.042
86	39
9	1
44	0.8
23.5	0.403
15.8	1.61
38	1.2
18.9	1.08
47.38	0.54
3.9	0.0317
1.9	0.02
11	0.02
1	0.49
1.5	0.234
1.37	23.6
1.78	76.8
40	1970
820	10.5
400	0.51
400	0.51
9	4.4
5.7	9.66
10	0.735
2.1	0.2
61	8.8
2.1	0.2
61	8.8
2.1	0.2
61	8.8
2.1	0.2
61	8.8
2.8	11.1
11	8.8
35.5	4.3
101	7.8
10	7.8
150	7.8
6.2	0.27
19	3.13
10.2	0.2
184	0.36
40	2.41
60	9.13
303	0.36
1118	10.3
32	32
32	32
1.7	26.7
1.7	26.7
700	81
0.67	9.8
12	22
12.3	8.8
5.9	167
4.3	8.8
1	11.4
0.63	23
1.7	23
88	26.7
21	48.1
43	0.415
57	7.6
16	2.2
12	3.5
1.7	3.2
279	2.4
28	1.53
1180	50.5
1180	50.5
570	0.001
850	52
570	0.001
850	52
40	69.9
230	74
13	19.4
1900	1.88
13100	1070
88000	1.8
3100	105
6300	1.59
7.1	12.9
9.9	49.4
4	17.3
6.7	43.5
11400	76.7
24000	105
125000	28.3
6600	2272
11900	0.0039
11400	1
22300	39.5
22300	39.5
22300	39.5
5100	7.3
5100	7.3
3700	6.7
970	12.2
690	8
290	5.4
6200	1.1
320	333
450	0.717
88	0.085
33	5.2
93	14
8	3.47
3100	200
10000	200
11.9	1.1
5.73	3.13
0.18	0.0000029
1.1	70.9
800	8.9
800	8.9
100	6.4
100	6.4
27000	16200
15.6	2.3
3.6	0.76
14	0.0087
50	0.45
3400	49
1900	42
50	0.01
700	3.9
2180	3.9
3500	17.6
2400	14
800	16.4
4100	16
2800	10
1600	14.1
40000	16.8
39000	10
31000	10.3
35000	14.1
79000	18.3
91000	15
87000	14.1
53000	16.4
66	89.6
387	61.2
46	3.3
6.1	1.7
14	158
14	158
30	110
21	127
30	110
21	127
96	4
830	104.9
40	56
38	31
36	119
25	1.8
585	41
670	113.6
750	6.55
7.8	20
13.1	2.6
24	45
50	5.4
122	28.05
187	1
9.4	2.6
91	0.89
259	0.48
