ID_MOD;Type
1;CEM
2;CEM
3;CEM
4;CEM
5;CEM
6;CEM
7;CEM
8;CEM
9;CEM
10;CEM
11;CEM
679;CEM
680;CEM
681;CEM
12;CEM
118;CEM
294;CEM
295;CEM
296;CEM
297;CEM
298;CEM
299;CEM
300;CEM
301;CEM
302;CEM
17;AA,FA,N
18;AA,FA,N
19;AA,FA,N
21;AA,FA,N
22;AA,FA,N
26;AA,FA,N
38;AA,FA,N
44;AA,FA,N
45;AA,FA,N
46;AA,FA,N
20;AA,FA,N
41;AA,FA,N
42;AA,FA,N
43;AA,FA,N
33;AA,FA,N
34;AA,FA,N
35;AA,FA,N
36;AA,FA,N
65;AA,FA,N
72;AA,FA,N
73;AA,FA,N
27;AA,FA,N
28;AA,FA,N
29;AA,FA,N
58;AA,FA,N
59;AA,FA,N
24;AA,FA,N
32;AA,FA,N
52;AA,FA,N
53;AA,FA,N
55;AA,FA,N
56;AA,FA,N
62;AA,FA,N
63;AA,FA,N
64;AA,FA,N
159;AA,FA,N
160;AA,FA,N
172;AA,FA,N
173;AA,FA,N
174;AA,FA,N
25;AA,FA,N
30;AA,FA,N
31;AA,FA,N
57;AA,FA,N
60;AA,FA,N
61;AA,FA,N
37;AA,FA,N
79;AA,FA,N
23;AA,FA,N
47;AA,FA,N
48;AA,FA,N
49;AA,FA,N
50;AA,FA,N
90;AA,FA,N
91;AA,FA,N
92;AA,FA,N
93;AA,FA,N
94;AA,FA,N
95;AA,FA,N
719;AA,FA,N
40;INTER
68;INTER
235;INTER
239;INTER
240;INTER
241;INTER
242;INTER
243;INTER
244;INTER
245;INTER
246;INTER
247;INTER
248;INTER
250;INTER
251;INTER
252;INTER
253;INTER
254;INTER
255;INTER
269;INTER
270;INTER
54;INTER
161;INTER
162;INTER
163;INTER
164;INTER
165;INTER
166;INTER
167;INTER
168;INTER
169;INTER
170;INTER
175;INTER
176;INTER
177;INTER
178;INTER
179;INTER
180;INTER
187;INTER
190;INTER
199;INTER
200;INTER
201;INTER
181;INTER
202;INTER
203;INTER
182;INTER
183;INTER
184;INTER
185;INTER
186;INTER
188;INTER
204;INTER
205;INTER
206;INTER
207;INTER
208;INTER
209;INTER
210;INTER
211;INTER
212;INTER
213;INTER
214;INTER
215;INTER
216;INTER
256;INTER
257;INTER
258;INTER
259;INTER
126;INTER
127;INTER
128;INTER
129;INTER
130;INTER
131;INTER
132;INTER
133;INTER
134;INTER
135;INTER
136;INTER
137;INTER
138;INTER
139;INTER
140;INTER
141;INTER
142;INTER
143;INTER
144;INTER
145;INTER
146;INTER
147;INTER
157;INTER
100;INTER
106;INTER
107;INTER
108;INTER
109;INTER
110;INTER
148;INTER
149;INTER
150;INTER
151;INTER
111;INTER
112;INTER
113;INTER
152;INTER
153;INTER
154;INTER
155;INTER
114;INTER
156;INTER
97;INTER
98;INTER
99;INTER
101;INTER
102;INTER
103;INTER
104;INTER
105;INTER
115;INTER
116;INTER
119;INTER
120;INTER
83;INTER
84;INTER
89;INTER
13;INTER
14;INTER
15;INTER
16;INTER
117;INTER
158;INTER
303;INTER
304;INTER
305;INTER
306;INTER
124;INTER
125;INTER
171;INTER
189;INTER
217;INTER
218;INTER
219;INTER
220;INTER
224;INTER
225;INTER
226;INTER
249;INTER
682;INTER
683;INTER
684;INTER
685;INTER
268;SEC
66;SEC
67;SEC
74;SEC
75;SEC
77;SEC
78;SEC
236;SEC
238;SEC
264;SEC
265;SEC
266;SEC
267;SEC
80;SEC
51;SEC
82;SEC
85;SEC
86;SEC
87;SEC
88;SEC
69;SEC
70;SEC
71;SEC
260;SEC
261;SEC
262;SEC
263;SEC
96;SEC
227;SEC
228;SEC
229;SEC
230;SEC
231;SEC
232;SEC
233;SEC
234;SEC
191;SEC
192;SEC
193;SEC
194;SEC
195;SEC
196;SEC
197;SEC
198;SEC
222;SEC
223;SEC
