Reaction_ID;Organism_ID;KM_muM;kcat_s_1
754;65;100;16.7
754;72;59;0.3
754;72;13;5.4
2124;7;11;1.83
2124;30;260;2.5
746;6;28470;53.5
746;576;3100;15
2343;4;220;41
2343;7;170;3.8
2343;8;360;23
2343;95;690;76
2343;101;120;8
2855;4;220;41
2855;7;170;3.8
2855;8;360;23
2855;95;690;76
2855;101;120;8
2856;8;7;25
2856;95;5;26
2856;101;3;27
2343;4;670;41
2343;7;77;1.6
2343;8;1100;25
2343;95;520;24
2343;101;200;30
2855;4;670;41
2855;7;77;1.6
2855;8;1100;25
2855;95;520;24
2855;101;200;30
2856;4;670;41
2856;7;77;1.6
2856;8;1100;25
2856;95;520;24
2856;101;200;30
842;1337;330;188
842;1505;260;19000
1896;1597;2000;302.9
1904;8;7;25
1904;27;260;6
1431;7;6200;1.7
1431;7;5040;0.635
1431;632;76000;0.283
2531;632;6300;266
1036;7;35;0.55
1041;7;35;0.55
3012;108;2.7;3.6
2413;113;10;45
2413;113;44;0.078
2413;113;31;49
717;234;4.5;13
717;789;2500;1.35
1388;789;6800;0.25
703;115;7;148.3
703;115;11;96
703;878;61;2330
703;901;9;125
703;902;14;266.7
703;906;8.1;216.7
1000;115;7;148.3
1000;115;11;96
1000;878;61;2330
1000;901;9;125
1000;902;14;266.7
1000;906;8.1;216.7
3104;115;7;148.3
3104;115;11;96
3104;878;61;2330
3104;901;9;125
3104;902;14;266.7
3104;906;8.1;216.7
703;5;160;676
703;74;60;250
703;74;2760;327.2
703;115;49;94
703;115;55;96
703;854;210;884
703;895;17;126.7
703;902;71;266.7
1000;115;600;80
704;954;0.21;633
704;955;120;321
1361;1041;240;280
1361;1041;320;58
1361;1041;1100;100
1361;1041;1300;110
2082;8;68;0.023
1975;7;34.5;155
1975;7;45;246
1975;7;18.7;252
1975;7;13.8;113
1975;7;16.6;1287
1975;7;22.2;681.7
1975;8;44;569
1977;1037;2;300
342;192;5.6;1.8
342;10;3230;122000
216;234;16900;284.1
216;285;690;158.4
216;285;2600;21.6
217;234;16900;284.1
217;285;690;158.4
217;285;2600;21.6
2476;7;4;1.9
2476;8;0.65;0.42
2477;7;4;1.9
2477;8;0.65;0.42
4309;8;2.1;0.047
4310;8;2.1;0.047
4845;8;2.4;0.105
4846;8;2.4;0.105
1836;7;5.3;0.33
2352;7;5.3;0.33
3406;7;5.3;0.33
2353;1411;6.5;3.8
4682;1411;6.5;3.8
2352;7;0.03;5.8
2353;7;0.03;5.8
868;20;440;20
2527;140;13;11
465;140;21;2.4
465;234;1.2;12
465;5;40;300000
1392;140;21;2.4
1392;234;1.2;12
1392;5;40;300000
465;7;240;67
465;234;34;22.5
1392;7;58;65
1388;140;13;11
1392;140;21;2.4
343;1517;40;1520
994;5;3.21;10.6
994;5;12;0.15
994;5;116;107
994;5;25.8;2.36
994;5;341;45.8
994;5;25;2.4
994;5;166;20
994;5;514;13.4
994;6;321;69
1763;85;25.7;622
1513;6;3.2;0.463
1513;113;170;2461
2978;129;9;1.07
1525;135;6.74;6.08
1525;241;7.06;7.41
2499;128;1;0.0333
2500;128;1;0.0333
2834;7;0.3;0.4
2834;95;0.28;0.3
2836;7;0.3;0.4
2836;95;0.28;0.3
2209;8;14;1.43
3325;8;14;1.43
2207;8;11;1.65
2209;8;11;1.65
3324;8;15.4;0.178
3325;8;15.4;0.178
2472;6;7;25
2472;6;30;25
2581;7;85;26.7
2581;7;247;179
2581;86;590;1.48
2581;262;16.7;870
3557;7;85;26.7
3557;7;247;179
3557;86;590;1.48
3557;262;16.7;870
2581;7;309;25
3054;469;100;13.3
2593;34;4.4;1.3
2593;469;8;27.4
2593;285;53;0.17
2593;285;31;0.24
2177;626;0.12;0.6
2177;626;3;0.6
2548;626;10;0.06
2548;626;674;0.06
2476;8;27;0.367
2476;8;0.65;0.42
2477;8;0.65;0.42
4697;755;3.5;2.1
4697;755;7.9;2.3
5679;73;32;2.4
5680;73;44;0.044
5679;73;290;2.6
5679;73;50;3.3
5680;73;290;2.6
5680;73;50;3.3
5682;96;440;8.7
5682;803;8400;1300
5682;803;6400;216
5685;9;210;91.8
5686;9;210;91.8
5688;113;7.2;5.3
5688;234;30;4.4
5688;6;50;38
5688;6;45;29
5688;6;81;33
5688;113;340;5.3
5688;808;170;17
5688;234;132;4.4
5692;469;64;0.75
5823;178;26000;8.33
7139;986;80;0.85
6983;7;0.2;34.5
7143;182;25000;196
7346;129;3950000;782
8194;803;6400;216
8194;803;8400;1300
8194;4;1020;9.3
608;990;10500;32
475;7;2200;0.7
1022;1334;2350;1.71
1063;111;29;61
1063;1277;18;430
3102;187;1400;66
3103;187;1400;66
1615;234;2.27;1.63
1941;234;5.16;0.0363
1941;2969;76.3;0.7
2193;234;0.98;0.038
2193;234;0.42;1.9
2193;2969;13.7;7.8
2220;234;6.32;0.0612
2220;234;0.55;1.67
2220;2969;104.5;5.3
3270;74;23;0.46
1196;2468;5;98.2
1196;35;275;2.4
1196;2468;2500;171
1196;2479;115;27
1196;4044;2000;98
1197;3827;110;17
978;128;0.12;1.6
2841;8;11;0.00817
2893;8;21.7;0.0375
4823;8;12.2;0.0128
402;6;5.4;177
402;1929;28;370
402;1929;7;210
1869;116;3.7;25.7
1869;116;21.3;25.7
1866;235;170;11.7
4198;583;1.8;0.49
4199;583;0.6;2.6
4199;583;2.1;17
4198;583;7.6;8.1
4198;583;13;19
4199;583;7.6;8.1
4199;583;13;19
2988;122;58;13.9
2988;2635;25;114
2989;122;58;13.9
2989;2635;25;114
5355;122;58;13.9
5355;2635;25;114
7781;122;58;13.9
7781;2635;25;114
4319;6;0.8;9.5
4557;4;94.6;0.16
6542;234;73.9;1.045
6542;666;12.9;0.18
6543;234;17.8;0.058
6543;666;49.8;1.34
2394;2042;180;20
2164;6;20;250
396;113;760;694
396;401;160;118
396;4739;390;888
243;4860;103;20.3
145;7;81;104
145;7;86;130
145;140;83;374.5
243;7;81;104
243;7;86;130
243;140;83;374.5
146;140;37;387.5
146;4889;40;112
248;140;37;387.5
248;4889;40;112
