Organism ID in the KineticTable;Organism Name - representative
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
0;Gallus gallus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
1;Cricetulus griseus
2;Vicia faba
2;Vicia faba
2;Vicia faba
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
3;Drosophila melanogaster
